skribb_word,num_candidates,present_candidates,missing_candidates,covered_by_any_candidate
hammer,1,hammer,,1
hand,1,hand,,1
handle,1,hand,,1
handstand,1,hand,,1
hard hat,1,hat,,1
hat,1,hat,,1
haunted house,1,house,,1
hawaii,1,beach,,1
head,1,skull,,1
headband,1,headphones,,1
headboard,1,skateboard,,1
headphones,1,headphones,,1
hedge,1,hedgehog,,1
hedgehog,1,hedgehog,,1
heel,1,shoe,,1
helicopter,1,helicopter,,1
hello kitty,1,cat,,1
helmet,1,helmet,,1
hexagon,1,hexagon,,1
high heels,1,shoe,,1
hockey,1,hockey puck,,1
hockey stick,1,hockey stick,,1
hole,1,drill,,1
home alone,1,house,,1
honda,1,motorcycle,,1
horse,1,horse,,1
horsewhip,1,horse,,1
hose,1,garden hose,,1
hospital,1,hospital,,1
hot,1,hot dog,,1
hot dog,1,hot dog,,1
hourglass,1,hourglass,,1
house,1,house,,1
hydra,1,fire hydrant,,1
ice cream truck,1,ice cream,,1
ice fishing,1,fish,,1
internet,1,computer,,1
ipad,1,apple,,1
jack-o-lantern,1,jack-o-lantern,,1
jacket,1,jacket,,1
jackhammer,1,hammer,,1
jail,1,jail,,1
jaw,1,mouth,,1
jaws,1,shark,,1
jeans,1,pants,,1
jelly,1,jellyfish,,1
jump,1,parachute,,1
kangaroo,1,kangaroo,,1
katana,1,sword,,1
kettle,1,teapot,,1
key,1,key,,1
keyboard,1,keyboard,,1
keypad,1,keyboard,,1
kiss,1,mouth,,1
kitten,1,cat,,1
knee,1,knee,,1
kneel,1,knee,,1
knife,1,knife,,1
ladder,1,ladder,,1
lake,1,pond,,1
lamb,1,sheep,,1
lamp,1,floor lamp,,1
landscape,1,garden,,1
lantern,1,lantern,,1
laptop,1,laptop,,1
laundry,1,washing machine,,1
lava,1,volcano,,1
lava lamp,1,floor lamp,,1
leaf,1,leaf,,1
leggings,1,pants,,1
legs,1,leg,,1
leonardo da vinci,1,the mona lisa,,1
light,1,light bulb,,1
lightbulb,1,light bulb,,1
lighthouse,1,lighthouse,,1
lightning,1,lightning,,1
line,1,line,,1
lion,1,lion,,1
lion king,1,lion,,1
lips,1,lipstick,,1
lipstick,1,lipstick,,1
lizard,1,lizard,,1
lobster,1,lobster,,1
lobster roll,1,lobster,,1
lollipop,1,lollipop,,1
london eye,1,eye,,1
louvre,1,the mona lisa,,1
luggage,1,suitcase,,1
lunch,1,sandwich,,1
mac,1,apple,,1
machine,1,computer,,1
machine gun,1,pistol,,1
mailbox,1,mailbox,,1
mansion,1,house,,1
map,1,map,,1
marker,1,marker,,1
mascara,1,lipstick,,1
match,1,matches,,1
mattress,1,bed,,1
meat,1,steak,,1
mechanical pencil,1,pencil,,1
megaphone,1,megaphone,,1
melon,1,watermelon,,1
mermaid,1,mermaid,,1
mickey mouse,1,mouse,,1
microphone,1,microphone,,1
microwave,1,microwave,,1
milkman,1,snowman,,1
mona lisa,1,the mona lisa,,1
monkey,1,monkey,,1
monkey bars,1,monkey,,1
moon,1,moon,,1
moon bounce,1,moon,,1
moose,1,deer,,1
mosquito,1,mosquito,,1
moth,1,butterfly,,1
motorcycle,1,motorcycle,,1
mount everest,1,mountain,,1
mountain,1,mountain,,1
mouse,1,mouse,,1
mouse pad,1,mouse,,1
mousepad,1,mouse,,1
mouth,1,mouth,,1
mozart,1,piano,,1
mr. bean,1,string bean,,1
mug,1,mug,,1
mugshot,1,mug,,1
muscle,1,leg,,1
mushroom,1,mushroom,,1
music,1,piano,,1
mustache,1,moustache,,1
necklace,1,necklace,,1
netflix,1,television,,1
nightclub,1,golf club,,1
nightlight,1,streetlight,,1
nike,1,shoe,,1
north sea,1,ocean,,1
nose,1,nose,,1
nose hair,1,nose,,1
nose ring,1,nose,,1
nosebleed,1,nose,,1
nostrils,1,nose,,1
novel,1,book,,1
ocean,1,ocean,,1
octagon,1,octagon,,1
octopus,1,octopus,,1
onion,1,onion,,1
onion powder,1,onion,,1
orchestra,1,clarinet,,1
orchid,1,flower,,1
outlet,1,power outlet,,1
oval,1,circle,,1
oven,1,oven,,1
oven mitt,1,oven,,1
owl,1,owl,,1
paint,1,paint can,,1
paint roller,1,rollerskates,,1
pajamas,1,underwear,,1
palm,1,palm tree,,1
palm tree,1,palm tree,,1
pancake,1,cake,,1
panda,1,panda,,1
panther,1,lion,,1
pants,1,pants,,1
paper clip,1,paper clip,,1
paperclip,1,paper clip,,1
parrot,1,parrot,,1
passport,1,passport,,1
pasture,1,grass,,1
peanut,1,peanut,,1
peanut butter,1,peanut,,1
pear,1,pear,,1
peas,1,peas,,1
pedal,1,bicycle,,1
pencil,1,pencil,,1
pencil case,1,pencil,,1
penguin,1,penguin,,1
peppa pig,1,pig,,1
phone,1,cell phone,,1
phone booth,1,telephone,,1
photo,1,camera,,1
photo booth,1,camera,,1
photo frame,1,picture frame,,1
photograph,1,camera,,1
photographer,1,camera,,1
pianist,1,piano,,1
piano,1,piano,,1
pickup truck,1,pickup truck,,1
pie,1,pizza,,1
pig,1,pig,,1
pigeon,1,bird,,1
pigsty,1,pig,,1
pillow,1,pillow,,1
pilot,1,airplane,,1
pine tree,1,tree,,1
pineapple,1,pineapple,,1
pistol,1,pistol,,1
pizza,1,pizza,,1
pizza hut,1,pizza,,1
plant,1,house plant,,1
pliers,1,pliers,,1
pocket,1,purse,,1
polar bear,1,bear,,1
police,1,police car,,1
policeman,1,police car,,1
polygon,1,hexagon,,1
pond,1,pond,,1
pony,1,horse,,1
pool,1,pool,,1
poop,1,toilet,,1
popsicle,1,popsicle,,1
pork,1,pig,,1
porky pig,1,pig,,1
porsche,1,car,,1
postcard,1,postcard,,1
potato,1,potato,,1
power,1,power outlet,,1
president,1,bush,,1
pretzel,1,pretzel,,1
puddle,1,rain,,1
puppy,1,dog,,1
raccoon,1,raccoon,,1
radio,1,radio,,1
railroad,1,train,,1
rain,1,rain,,1
rainbow,1,rainbow,,1
raincoat,1,jacket,,1
raindrop,1,rain,,1
raisin,1,grapes,,1
rake,1,rake,,1
ramp,1,stairs,,1
raspberry,1,blueberry,,1
rat,1,rabbit,,1
rattle,1,snake,,1
rattlesnake,1,snake,,1
reading glasses,1,eyeglasses,,1
real estate,1,house,,1
reception,1,radio,,1
recorder,1,microphone,,1
rectangle,1,square,,1
red panda,1,panda,,1
red sea,1,ocean,,1
religion,1,church,,1
reptile,1,lizard,,1
retirement home,1,house,,1
rhinoceros,1,rhinoceros,,1
rifle,1,rifle,,1
rim,1,wheel,,1
ring finger,1,finger,,1
ripe,1,pear,,1
river,1,river,,1
roast beef,1,steak,,1
rock pool,1,pool,,1
rocket,1,rocket,,1
rocket league,1,rocket,,1
roller coaster,1,roller coaster,,1
rollerblade,1,rollerskates,,1
room,1,house,,1
row,1,table,,1
ruby,1,rake,,1
saddle,1,horse,,1
sailboat,1,sailboat,,1
saliva,1,mouth,,1
salmon,1,fish,,1
saltwater,1,ocean,,1
samurai,1,sword,,1
sand,1,beach,,1
sandals,1,shoe,,1
sandwich,1,sandwich,,1
sausage,1,sandwich,,1
saw,1,saw,,1
saxophone,1,saxophone,,1
scissors,1,scissors,,1
screwdriver,1,screwdriver,,1
sea,1,ocean,,1
seafood,1,fish,,1
seagull,1,seagull,,1
seahorse,1,horse,,1
seal,1,seal,,1
seesaw,1,saw,,1
semicircle,1,circle,,1
sewer,1,toilet,,1
shark,1,shark,,1
shave,1,beard,,1
sheep,1,sheep,,1
sheep dog,1,sheep,,1
sheet,1,spreadsheet,,1
ship,1,cruise ship,,1
shipwreck,1,cruise ship,,1
shirt,1,t-shirt,,1
